"T_cell","Endothelial_cell","B_cell","Fibroblast","Cancer_cell","Myeloid_cell","Mast_cell","pDC"
"BIOKEY_2",0.497010736717241,0.0272074356386078,0.146744511201705,0.10222919261914,0.137939922813819,0.0764591593872065,6.29595262553963e-05,0.0123460820960244
"BIOKEY_3",0.0818814238463534,0.0131653640038239,0.0253804615938044,0.697019265972965,0.100819595589341,0.0717608045034141,0.00759482600857464,0.0023782584817233
"BIOKEY_4",0.531025245651927,0.00406035951510641,0.306241384724024,0.0296013626188093,0.0845314760777363,0.0352695825746747,0.000868132865216197,0.00840245597250668
"BIOKEY_5",0.638354674528345,0.0174395238770495,0.188677812298356,0.0243892858472181,0.0283345852548553,0.025917222021687,0.0721956318413523,0.00469126433113629
"BIOKEY_6",0.278453425349997,0.0742299039401969,0.0277760863080956,0.25308095826424,0.279046626796969,0.0795335234434265,0.00780475037133384,7.47255257414087e-05
"BIOKEY_7",0.0219660716979517,0.0290099761507687,0.00162907602833496,0.391676404742303,0.399751193356793,0.141496616625368,0.014470333107004,3.2829147643226e-07
"BIOKEY_8",0.537479286713953,0.0186628430261045,0.0685460474947926,0.00589686643240548,0.0445123665450045,0.308692960175358,4.18207324410122e-12,0.0162096296081997
"BIOKEY_9",0.233898742645475,0.0673435010954836,0.155154959082601,0.229019931754295,0.22092928558165,0.0790175374268305,0.006875618402995,0.00776042401066998
"BIOKEY_10",0.667874528318854,0.0121217091074742,0.0973595377101281,0.0826610931139757,0.035366783825085,0.0987465273342204,0.00380228378338095,0.00206753680688131
"BIOKEY_11",0.607943073100195,0.00465627602277915,0.0814386751885226,0.0139257041956802,0.163478756252116,0.123508927211222,0.000270521191828258,0.0047780668376569
"BIOKEY_13",0.530901428220105,0.0809275007030451,0.0719252752462721,0.250935963484215,0.0158818513850858,0.035456473699104,0.00334000612802924,0.0106315011341438
"BIOKEY_14",0.414594576871938,0.0823808724569318,0.228874098145295,0.127832055336819,0.0836555706427133,0.0402579084019978,0.00619571227333772,0.0162092058709672
"BIOKEY_15",0.586181263969339,0.0176218499302902,0.12500648884134,0.0487825422127829,0.111106375488534,0.0976131568614205,1.76681060201982e-11,0.0136883226786256
"BIOKEY_16",0.484096329564645,0.0171808274045858,0.163167234073906,0.00949306545941583,0.0989842336449824,0.201460268626476,0.00485681553236421,0.0207612256936252
"BIOKEY_17",0.0544846876962702,0.0575267427677607,0.000762325786955988,0.386367493877375,0.449138614780156,0.0507156370744671,0.0010041736908851,3.24326130664821e-07
"BIOKEY_18",0.457669890113568,0.132141060709254,0.103797504188139,0.181289969645225,0.0780917789383698,0.0369856188748033,0.00778798728762903,0.0022361902430116
"BIOKEY_19",0.413091615431533,0.0830684982394288,0.114322152736767,0.178621672269675,0.15251591035264,0.0416503335119547,0.0131834203965938,0.00354639706140809
"BIOKEY_21",0.0725268831060672,0.0554440391456934,0.0202524997700984,0.0848972256864449,0.719354830505885,0.0419121005244213,0.0023001625593863,0.00331225870200326
"BIOKEY_22",0.0326486792981518,0.0366155941885222,0.000736244713467138,0.761403200685041,0.137188167035464,0.0305807475270214,8.12206213194016e-05,0.000746145931012909
"BIOKEY_23",0.187787719889433,0.10705068098442,0.0334099826662037,0.120956976118907,0.45734769421205,0.0863252145534768,0.00104132431395507,0.00608040726155486
"BIOKEY_24",0.146326596274925,0.0570246704911178,0.00976895168736771,0.187735652971645,0.507458655359621,0.0858247703020689,0.00584919641066174,1.15065025937658e-05
"BIOKEY_26",0.00334007091830707,0.0271283434271785,3.24151330142330e-11,0.152238849978603,0.765514648783321,0.0492476913270583,5.73334722228364e-12,0.00253039552738439
"BIOKEY_27",0.320611434684895,0.0776980939483993,0.0381901286220458,0.437745270065155,0.098364022931979,0.023831304752798,0.00288501393174823,0.000674731062979521
"BIOKEY_28",0.416926256309896,0.0596687579748095,0.0278017958063027,0.0662409221061964,0.0910059612215533,0.327109635128728,4.40406982574e-08,0.0112466274118161
"BIOKEY_30",0.00897915863991257,0.0307944094241522,0.0184573424866746,0.0550179952138069,0.856139572002946,0.0209915157705435,0.0086543531575294,0.0009656533044347
"BIOKEY_32",0.176334878599883,0.30067129722859,0.0492249318793834,0.368343108506289,0.052290301659978,0.0382674731809345,0.00976802072546923,0.00509998821947222
"BIOKEY_33",0.715861453910448,0.113079961616402,0.0354720585024666,0.0802299389692529,0.00181245395576986,0.0452444654536962,0.00152545412129312,0.00677421347067141
"BIOKEY_35",0.349438342018155,0.0330018027020207,0.110101328160689,0.0117275466372898,0.238131844035118,0.249016582741682,5.02804631545925e-09,0.00858254867699902
"BIOKEY_36",0.34686859762189,0.136131341752075,0.0351950945415306,0.358715655981699,0.00861678758986416,0.110364109114952,0.000527056146994034,0.00358135725099483
"BIOKEY_37",0.393950449906602,0.144418859438079,0.0363100817973293,0.181034191570751,0.144324207407319,0.0976647077199596,4.40684147532888e-06,0.00229309531848471
"BIOKEY_38",0.116671821833194,0.315133009537072,0.00385110583957637,0.487521532082557,0.0599431436680572,0.0101706391934212,0.00661391882292138,9.48290232003909e-05
"BIOKEY_39",0.151936262522999,0.104947345599643,0.00704609098616786,0.551109529681521,0.0509100445624986,0.130247299860627,5.39006651647028e-07,0.00380288777989166
"BIOKEY_40",0.297873487208969,0.117660994857465,0.00172942337067034,0.420414779071271,0.057141640710602,0.100917533980296,0.00419076556381481,7.13752369117499e-05
"BIOKEY_41",0.372551567239113,0.0703204476502175,7.91583666442684e-06,0.136767131705351,0.333777728796668,0.0807688926945053,0.00136656896692168,0.00443974711055936
